Stato,Capitale,Lingua
Singapore,Singapore (citt‡†-stato),Inglese, Cinese mandarino, Malese, Tamil
Siria,Damasco,Arabo
Slovacchia,Bratislava,Slovacco
Slovenia,Lubiana,Sloveno
Somalia,Mogadiscio,Somalo, Arabo
Spagna,Madrid,Spagnolo
Sri Lanka,Sri Jayawardenapura Kotte,Singalese, Tamil
Stati Uniti,Washington,Inglese
Sudafrica,Pretoria (amministrativa) - Citt‡† del Capo (legislativa) - Bloemfontein (giudiziaria),Afrikaans, Inglese, Ndebele, Sesotho del nord, Sesotho, Swati, Tsonga, Tswana, Venda, Xhosa, Zulu
Sudan,Khartum,Arabo, Inglese
Sudan del Sud,Juba,Inglese
Suriname,Paramaribo,Olandese
Svezia,Stoccolma,Svedese
Svizzera,Berna,Tedesco, Francese, Italiano
Swaziland,Mbabane (amministrativa e giudiziaria) - Lobamba (legislativa),Inglese, Swati
Tagikistan,Du≈°anbe,Tagico
Taiwan,Taipei,Cinese mandarino
Tanzania,Dodoma,Inglese, Swahili
Thailandia,Bangkok,Thailandese
Timor Est,Dili,Tetum, Portoghese
Togo,Lom‡,Francese
Tonga,Nuku ªalofa,Inglese, Tongano
Trinidad e Tobago,Port of Spain,Spagnolo
Tunisia,Tunisi,Arabo
Turchia,Ankara,Turco
Turkmenistan,Ashgabat,Turkmeno
Tuvalu,Funafuti,Inglese, Tuvaluano
Ucraina,Kiev,Ucraino
Uganda,Kampala,Inglese, Swahili
Ungheria,Budapest,Ungherese
Uruguay,Montevideo,Spagnolo
Uzbekistan,Tashkent,Uzbeco
Vanuatu,Port Vila,Bislama, Inglese, Francese
Venezuela,Caracas,Spagnolo
Vietnam,Hanoi,Vietnamita
Yemen,San'a,Arabo
Zambia,Lusaka,Inglese
Zimbabwe,Harare,Inglese, Shona, Ndebele
